id,question,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10
85,"มีงบ ฿5,000 อยากได้หูฟังครอบหู ซื้อรุ่นไหนได้บ้างครับ","ซื้อได้ 3 รุ่น คือ HeadOn 300 (฿2,490), HeadOn 300 FahMai Edition (฿2,490) และ HeadOn 500 (฿4,990) เพราะมี 3 รุ่นที่ราคาไม่เกิน ฿5,000 ส่วน GameStorm H1 ราคา ฿5,490 เกินงบ","ซื้อได้ 2 รุ่น คือ HeadOn 300 (฿2,490) และ HeadOn 500 (฿4,990)","ซื้อได้ 5 รุ่น คือ HeadOn 300, HeadOn 300 FahMai Edition, GameStorm H1, HeadOn 500 และ StudioPro M1 เพราะ StudioPro M1 เป็นหูฟัง studio monitor ราคา ฿4,990 อยู่ในงบพอดี","ซื้อได้ 4 รุ่น คือ HeadOn 300 (฿2,490), HeadOn 300 FahMai Edition (฿2,490), GameStorm H1 (฿3,490) และ HeadOn 500 (฿4,990)","ซื้อได้รุ่นเดียว คือ HeadOn 300 (฿2,490) รุ่นอื่นเกิน ฿5,000 ทั้งหมด","ซื้อได้ 4 รุ่น คือ HeadOn 300, HeadOn 500, StudioPro M1 (฿4,990) และ GameStorm H1 โดย HeadOn 300 FahMai Edition ไม่นับเพราะเป็นรุ่น limited edition ที่หมดสต็อกแล้วไม่สามารถสั่งซื้อได้","ซื้อได้ 3 รุ่น คือ HeadOn 300, GameStorm H1 และ HeadOn 500","ไม่มีรุ่นไหนซื้อได้เลยครับ หูฟังครอบหูของคลูนเสียงเริ่มต้นที่ HeadOn 500 ราคา ฿4,990 แต่รวมค่าส่งแล้วจะเกิน ฿5,000 แนะนำเพิ่มงบอีก ฿1,000",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
86,"มีเงิน ฿8,000 อยากซื้อลำโพง ดูได้กี่รุ่นครับ","4 รุ่น คือ Go Mini (฿1,290), Go Mini Twin Pack (฿2,290), HomePod One (฿5,990) และ SoundBar 300 (฿7,990) เฉพาะลำโพงจากร้านฟ้าใหม่ ไม่รวม ArcWave SoundPillar เพราะเป็นแบรนด์พาร์ทเนอร์","6 รุ่น เพราะ BoomBox X ราคา ฿8,000 พอดีไม่เกินงบ ซื้อได้อีก 1 รุ่น","5 รุ่น คือ Go Mini (฿1,290), Go Mini Twin Pack (฿2,290), HomePod One (฿5,990), SoundPillar 300 (฿7,490) และ SoundBar 300 (฿7,990)","3 รุ่น คือ Go Mini (฿1,290), Go Mini Twin Pack (฿2,290) และ HomePod One (฿5,990) ส่วน SoundBar 300 กับ SoundPillar 300 เป็นลำโพง soundbar ต้องแยกหมวดกัน",4 รุ่น ไม่รวม SoundPillar 300 เพราะเป็นของ ArcWave,"6 รุ่น คือ Go Mini, Go Mini Twin Pack, HomePod One, SoundPillar 300, SoundBar 300 และ BoomBox X เพราะ BoomBox X ราคา ฿7,990 ไม่เกิน ฿8,000 พอดี",4 รุ่น ไม่รวม Go Mini Twin Pack เพราะเป็นแพ็คคู่ นับเป็นตัวเดียวกับ Go Mini,"3 รุ่น คือ HomePod One, SoundPillar 300, SoundBar 300",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
87,"งบ ฿3,500 อยากซื้อหูฟัง ไม่ว่าจะแบบครอบหูหรือ TWS มีรุ่นไหนให้เลือกบ้าง","4 รุ่น คือ HeadOn 300 (฿2,490), Buds Z1 (฿990), Buds Sport Lite (฿1,990) และ Buds Z3 (฿3,490) ส่วน GameStorm H1 เป็นหูฟังเกมมิ่งไม่นับรวม และ HeadOn 300 FahMai Edition หมดสต็อก","3 รุ่น คือ HeadOn 300, Buds Z1, Buds Sport Lite","7 รุ่น รวมทั้ง HeadOn 300, HeadOn 300 FahMai Edition, GameStorm H1, Buds Z1, Buds Sport Lite, Buds Z3 และ Buds Sport X เพราะ Sport X ราคา ฿3,490 เท่ากับ Z3 อยู่ในงบพอดี",5 รุ่น ไม่รวม HeadOn 300 FahMai Edition เพราะเป็นรุ่น limited edition,5 รุ่น ไม่รวม GameStorm H1 เพราะเป็นหูฟังเกมมิ่ง,"8 รุ่น รวม HeadOn 500 (฿3,490) และ Buds Sport X (฿2,990) ด้วย เพราะหูฟังราคาไม่เกิน ฿3,500 มีหลายรุ่นมากทั้งสองแบบ","6 รุ่น คือ ครอบหู HeadOn 300 (฿2,490), HeadOn 300 FahMai Edition (฿2,490), GameStorm H1 (฿3,490) และ TWS Buds Z1 (฿990), Buds Sport Lite (฿1,990), Buds Z3 (฿3,490)","4 รุ่น คือ HeadOn 300, GameStorm H1, Buds Z1, Buds Z3",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
88,หาแล็ปท็อปที่เงียบสนิทไม่มีเสียงพัดลมเลย น้ำหนักไม่เกิน 1.2 กิโลกรัม แบตใช้ได้เกิน 15 ชั่วโมง มีรุ่นไหนตรงกับที่ต้องการบ้างครับ,AirBook 15 เท่านั้น เป็นรุ่นเดียวที่ไม่มีพัดลม น้ำหนัก 1.3kg แบต 18 ชม.,AirBook 14 (16GB) เพียงรุ่นเดียว fanless 1.1kg แบต ~20 ชม. ส่วนรุ่น 8GB ใช้พัดลมขนาดเล็กช่วยระบายความร้อนเพราะ RAM ลดลง,"AirBook 14 ทั้ง 2 รุ่น (16GB และ 8GB) ตรงทุกข้อ — fanless, 1.1kg, แบต ~20 ชม.","AirBook 14 (16GB), AirBook 14 (8GB), และ AirBook 15 ตรงทั้ง 3 รุ่น ทุกรุ่นเป็น fanless น้ำหนักไม่เกิน 1.2kg และแบตเกิน 15 ชม. ทั้งหมด",Mini PC M1 ตรงที่สุด fanless เงียบสนิท 0 dB น้ำหนักแค่ 0.5kg,"ProBook 14 (1.6kg, ~12 ชม.) พัดลมเงียบมากแทบไม่ได้ยิน ใกล้เคียง fanless",ไม่มีรุ่นไหนตรงทุกข้อ AirBook 14 แม้จะ fanless แต่แบตได้แค่ 12 ชม. ส่วน AirBook 15 แบต 18 ชม. แต่หนัก 1.3kg,AirBook 14 (8GB) รุ่นเดียว เพราะรุ่น 16GB หนัก 1.25kg เกินเล็กน้อย,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
89,อยากได้สมาร์ทวอทช์ที่วัดคลื่นไฟฟ้าหัวใจได้ จ่ายเงินแตะจากข้อมือได้ ว่ายน้ำได้ งบไม่เกินหมื่น มีรุ่นไหนบ้างครับ,"Watch S3 Ultra เหมาะสุด มี ECG NFC Pay กันน้ำ 100m ราคา ฿14,990","Watch S3 ตัวธรรมดา ราคา ฿5,990 มี ECG NFC Pay ว่ายน้ำได้ ประหยัดสุด","ทั้ง 3 รุ่น (S3, S3 Pro, S3 Ultra) ตรงทุกข้อเพราะเป็นซีรีส์เดียวกันมีฟีเจอร์เหมือนกัน ต่างกันแค่วัสดุตัวเรือนและราคา","Watch S3 Pro รุ่นเดียว (฿9,990) มี ECG, NFC Pay, กันน้ำ 5ATM","Watch S3 Pro และ S3 Ultra ตรงทุกข้อ ราคา ฿9,990 และ ฿14,990",Watch S3 Ultra เท่านั้น เพราะเป็นรุ่นเดียวที่มี ECG จริง S3 Pro แค่มี SpO2 ไม่มี ECG,ไม่มีรุ่นไหนในงบหมื่นที่ตรงทุกข้อ S3 Pro มี ECG แต่ไม่มี NFC ต้อง Ultra ขึ้นไป,"Watch S3 Pro ราคา ฿9,990 แต่ว่ายน้ำไม่ได้ กันน้ำแค่ฝนตกหรือล้างมือ ต้อง Ultra ถึงจะว่ายน้ำได้",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
90,"อยากได้หูฟังครอบหูไร้สาย มีตัดเสียงรบกวน รองรับ LDAC แบตอย่างน้อย 30 ชั่วโมง งบไม่เกิน ฿13,000 มีรุ่นไหนบ้าง","HeadOn 500 (฿4,990) ตรงทุกข้อ มี ANC แบต 35 ชม. รองรับ LDAC ประหยัดงบสุด","HeadOn 300 (฿2,490) แบต 50 ชม. ยาวสุดในกลุ่ม มี ANC และ LDAC","HeadPro X1 (฿12,990) และ HeadOn 500 (฿4,990) ทั้งสองรุ่น มี ANC และ LDAC","HeadPro X1 (฿12,990) และ HeadPro X1 SE (฿13,490) สเปคเหมือนกัน ทั้งคู่ตรงทุกข้อ","HeadPro X1 (฿12,990) รุ่นเดียว — ANC, LDAC, แบต 30 ชม.","HeadOn 500 (฿4,990) เป็นรุ่นเดียวที่มี LDAC ในงบ ส่วน HeadPro X1 ราคาเกินงบ","ไม่มีรุ่นไหนตรง หูฟังคลื่นเสียงที่มี LDAC คือ HeadPro X1 Pro ราคา ฿16,990 เกินงบ",หูฟังคลื่นเสียงทุกรุ่นรองรับ LDAC เพราะเป็นแบรนด์ Hi-Res Audio ต่างกันแค่ ANC กับไม่มี ANC เท่านั้น,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
91,หูฟัง TWS มี ANC รองรับ Hi-Res Audio เคสชาร์จไร้สาย Qi ได้ มีรุ่นไหนบ้าง ราคาเท่าไหร่,"Buds Z5 (฿5,490) ตรงทุกข้อ มี ANC Hi-Res เคสชาร์จ Qi ราคาประหยัดกว่า Z5 Pro","Buds Z5 Pro (฿7,990) และ NovaBuds Pro (฿5,990) ทั้งสองรุ่นมี ANC Hi-Res และเคสชาร์จ Qi","NovaBuds Pro (฿5,990) เท่านั้น มี ANC Hi-Res เคสชาร์จ Qi ประหยัดกว่า Z5 Pro ตั้ง ฿2,000","Buds Z5 Pro (฿7,990) รุ่นเดียว — ANC, Hi-Res, เคสชาร์จ Qi","Buds Z5 Pro (฿7,990) และ Buds Z5 (฿5,490) ทั้งสองรุ่น Z5 ซีรีส์ สเปคเหมือนกันทุกอย่างต่างกันแค่สี",หูฟัง TWS ของฟ้าใหม่ทุกรุ่นที่มี ANC รองรับ Hi-Res และ Qi ทั้งหมด ต่างกันแค่ราคาและจำนวนไมค์,ไม่มีรุ่นไหนตรง หูฟัง TWS ของฟ้าใหม่ไม่มีรุ่นไหนรองรับ Hi-Res Audio,"NovaBuds Pro (฿5,990) รุ่นเดียวที่มี Hi-Res ส่วน Z5 Pro มี ANC กับ Qi แต่ไม่มี Hi-Res",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
92,"หูฟังไร้สายทุกแบบ ไม่ว่า TWS หรือครอบหู ที่มี ANC รองรับ LDAC ราคาไม่เกิน ฿8,000 มีรุ่นไหนบ้าง","HeadPro X1 (฿12,990) เท่านั้น เป็นรุ่นเดียวที่มี ANC + LDAC","HeadOn 500 (฿4,990) มี ANC + LDAC ในงบสบาย ถูกกว่า X1 เกือบ ฿8,000","Buds Z5 Pro (฿7,990) และ HeadOn 500 (฿4,990) ทั้งสอง ANC + LDAC ในงบ","Buds Z5 Pro (฿7,990) รุ่นเดียวในงบ — ANC, LDAC, ฿7,990","HeadPro X1 (฿12,990) และ Buds Z5 Pro (฿7,990) ทั้งสองมี ANC + LDAC ทั้งคู่อยู่ในงบ ฿8,000","NovaBuds Pro (฿5,990) ถูกสุดในกลุ่มที่มี ANC + LDAC ส่วน Z5 Pro ก็ตรงแต่แพงกว่า","ไม่มีรุ่นไหนตรง หูฟังที่มี LDAC ต้อง HeadPro X1 ราคา ฿12,990 เกินงบ","Buds Z5 (฿5,490) ตรงทุกข้อ มี ANC + LDAC ในงบ ส่วน Z5 Pro แพงกว่าโดยไม่จำเป็น",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
93,เพื่อนบอกว่า HeadPro X1 กับ HeadOn 500 สเปคเหมือนกัน ใช้ HeadOn 500 ประหยัดกว่า จริงไหมครับ,"จริงครับ สเปคหลักเหมือนกัน HeadOn 500 ประหยัดกว่าตั้ง ฿8,000",ไม่จริง X1 มี ANC ตัดเสียง ส่วน HeadOn 500 ไม่มี ANC ตัดเสียงไม่ได้เลย,ไม่จริง X1 ไดรเวอร์ 50mm ส่วน HeadOn 500 ใช้ 40mm เสียงต่างกันมาก,ไม่จริง X1 แบต 50 ชม. ส่วน HeadOn 500 แบตแค่ 20 ชม. อึดต่างกันเท่าตัว,ไม่จริง X1 มี LDAC Hi-Res Multipoint BT 5.3 ส่วน HeadOn 500 ไม่มี,ไม่จริง X1 มี Multipoint แค่อย่างเดียวที่ต่าง นอกนั้นเหมือนกันหมด รวมถึง LDAC และ Hi-Res ที่ทั้งคู่มีเหมือนกัน,ไม่จริง X1 มี LDAC ส่วน HeadOn 500 มี aptX HD แทน ทั้งคู่ฟังเพลงคุณภาพสูงได้เหมือนกันแค่ใช้คนละ codec,ไม่จริง X1 ชาร์จ USB-C ส่วน HeadOn 500 ยังใช้ micro-USB รุ่นเก่า ชาร์จช้ากว่า,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
94,เพื่อนบอกว่า StormBook G5 กับ G5 รุ่นปี 2024 สเปคเหมือนกัน รุ่น 2024 แค่ปรับดีไซน์ใหม่ จริงไหมครับ,จริงครับ สเปคเหมือนกันทุกอย่าง รุ่น 2024 แค่ปรับดีไซน์ตัวเครื่องใหม่เท่านั้น,ไม่จริง G5 จอ 15.6 นิ้ว 120Hz ส่วน G5 2024 จอ 14 นิ้ว 60Hz ขนาดจอต่างกันชัดเจน,ไม่จริง G5 ใช้ WiFi 6 ส่วน G5 2024 ยังใช้ WiFi 5 รุ่นเก่า เล่นเกมออนไลน์แล้ว ping ต่างกัน,ไม่จริง G5 ใช้ DDR5 + GX-4060 แบต 72Wh ส่วน G5 2024 ใช้ DDR4 + GX-3060 แบต 65Wh,ไม่จริง G5 อัปเกรด RAM ได้ ส่วน G5 2024 เป็น RAM บัดกรีอัปเกรดไม่ได้,ไม่จริง G5 ใช้ SSD NVMe ส่วน G5 2024 ยังใช้ HDD หมุน ความเร็วอ่านเขียนต่างกันหลายเท่า,ไม่จริง G5 มี RGB keyboard ส่วน G5 2024 ไฟคีย์บอร์ดสีขาวอย่างเดียว ไม่มี RGB,ไม่จริง G5 2024 สเปคดีกว่า G5 ทุกอย่าง ทั้ง GPU RAM และแบต เพราะเป็นรุ่นใหม่กว่า,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
95,ซื้อแท่นชาร์จ QiPad 15 มาชาร์จนาฬิกา Watch S3 Ultra ได้ไหมครับ,ได้ครับ QiPad 15 ชาร์จอุปกรณ์ Qi ได้ทุกรุ่น Watch S3 Ultra ก็เป็น wireless ชาร์จได้,ได้ แต่ชาร์จช้ากว่าปกติเพราะนาฬิกาใช้พลังงานน้อย,ไม่ได้ QiPad 15 ชาร์จได้เฉพาะ iPhone เท่านั้น,ไม่ได้ QiPad 15 เป็นมาตรฐาน Qi สำหรับสมาร์ทโฟน แต่ Watch S3 Ultra ใช้ระบบชาร์จแม่เหล็กเฉพาะ,ได้ครับ แต่ต้องซื้ออะแดปเตอร์แปลง Qi-to-Magnetic เพิ่มราคา ฿590 ขายที่ร้านฟ้าใหม่ มีให้เลือกสีขาวกับสีดำ รองรับนาฬิกาวงโคจรทุกรุ่นทั้ง S3 Ultra S3 Pro และ S3 SE ชาร์จได้ทุกรุ่น,ไม่ได้ Watch S3 Ultra ต้องชาร์จผ่าน USB-C เท่านั้น ไม่มีระบบชาร์จไร้สาย,ได้ครับ วางนาฬิกาตรงกลางแท่นชาร์จ QiPad ชาร์จได้เลย,ไม่ได้ QiPad 15 รองรับเฉพาะสายฟ้าโฟนเท่านั้น ไม่รองรับแบรนด์อื่น,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
96,ซื้อแท่นชาร์จ PulseGear ChargePad 15W มา อยากวางเคสหูฟัง NovaBuds Pro ชาร์จไร้สายได้ไหมครับ,ได้ครับ ChargePad 15W ชาร์จอุปกรณ์ Qi ทุกรุ่น เคสหูฟังก็ชาร์จได้,ได้ แต่ชาร์จช้ามาก เพราะเคสหูฟังรับไฟได้แค่ 5W,ได้ครับ วางเคสหูฟัง NovaBuds Pro บนแท่น ChargePad 15W ได้เลย เคสรุ่นนี้มีขดลวด Qi ในตัว รองรับการชาร์จไร้สายได้ถึง 5W เต็มจาก 0% ใช้เวลาประมาณ 2 ชั่วโมง ไฟ LED จะเป็นสีเขียวเมื่อชาร์จเต็ม,ไม่ได้ ChargePad 15W ชาร์จได้เฉพาะสมาร์ทโฟน ไม่รองรับอุปกรณ์อื่น,ไม่ได้ เคส NovaBuds Pro ชาร์จผ่าน USB-C เท่านั้น ไม่รองรับชาร์จไร้สาย,ได้ แต่ต้องอัปเดตเฟิร์มแวร์เคสหูฟังก่อน,ไม่ได้ ต้องซื้อ ChargePad รุ่น Pro ที่รองรับ TWS case โดยเฉพาะ,ได้ แต่ต้องถอดหูฟังออกจากเคสก่อนชาร์จ,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
97,ซื้อ ArcWave SoundPillar 300 มา ทำตกพื้นเสียหาย จะเคลมประกันหรือ Care+ ได้ไหมครับ,เคลมประกันได้ครับ ArcWave มีประกัน 18 เดือนครอบคลุมทุกกรณี,เคลมประกันไม่ได้ แต่ซื้อ Care+ คุ้มครองอุบัติเหตุได้ จ่ายปีละ 10% ของราคาสินค้า,เคลมประกันได้ครับ ArcWave SoundPillar 300 มีประกันจากผู้ผลิต 18 เดือน ครอบคลุมความเสียหายทุกประเภทรวมถึงอุบัติเหตุ เพียงนำสินค้าพร้อมใบเสร็จมาที่ศูนย์บริการ ArcWave หรือสาขาฟ้าใหม่ทุกสาขา,ซื้อ Care+ เพิ่มได้ ฿590 ต่อปี คุ้มครองตกกระแทก,เคลม Care+ ได้ จ่ายค่าซ่อมส่วนต่าง 30% ของราคาสินค้า,ต้องส่งซ่อมที่ศูนย์ ArcWave โดยตรง ไม่ผ่านฟ้าใหม่,ไม่ได้ทั้งสองทาง ประกันปกติไม่คุ้มครองอุบัติเหตุ และ Care+ ไม่รับแบรนด์พันธมิตรอย่าง ArcWave,ไม่ได้ แต่ซื้อประกันเพิ่มจากบริษัทประกันภัยภายนอกได้,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
98,"สั่งซื้อ SoundBar Pro 500 ราคา ฿15,990 จัดส่งไปที่อพาร์ทเมนต์ชั้น 6 ไม่มีลิฟต์ ในกรุงเทพฯ ต้องจ่ายค่าจัดส่งรวมทั้งหมดเท่าไหร่ครับ",ฟรี เพราะมูลค่าสั่งซื้อเกิน ฿500,฿200 เฉพาะค่าจัดส่งสินค้าหนักเกิน 30 กก. เพียงอย่างเดียว ค่าจัดส่งมาตรฐานฟรีเพราะยอดเกิน ฿500 และค่าขนขึ้นชั้นรวมอยู่ในค่าจัดส่งสินค้าหนักแล้ว,฿300 คือค่าสินค้าหนัก ฿200 + ค่าขนขึ้นชั้น 6 อีก ฿100,฿400 คือค่าสินค้าหนัก ฿200 + ค่าขนขึ้นชั้น 5 และ 6 (฿100 × 2 ชั้น),"฿500 คือค่าสินค้าหนัก ฿200 + ค่าขนชั้น 4, 5, 6 (฿100 × 3 ชั้น)",฿800 คือค่าสินค้าหนัก ฿200 + ค่าขนทุกชั้น ฿100 × 6 ชั้น,"฿100 ค่าขนขึ้นชั้นอย่างเดียว เพราะจัดส่งฟรีรวมค่าสินค้าหนักแล้วสำหรับยอดเกิน ฿500 ค่าสินค้าหนักจะถูกยกเว้นเมื่อยอดสั่งซื้อเกิน ฿10,000",฿350 คือค่าจัดส่งมาตรฐาน ฿50 + ค่าสินค้าหนัก ฿200 + ค่าขนชั้น ฿100,ไม่มีข้อมูลเพียงพอในฐานข้อมูลสำหรับคำนวณค่าจัดส่ง,คำถามนี้ไม่เกี่ยวข้องกับร้านฟ้าใหม่
99,"สั่ง PulseGear Power Bank 30,000 mAh ส่งไปเกาะสมุย ใช้เวลาจัดส่งประมาณกี่วันทำการครับ",1-2 วันทำการ ถ้าสั่งก่อนเที่ยงวัน,3-5 วันทำการ ตามตารางจัดส่งภาคใต้,5-7 วันทำการ ตามตารางจัดส่งพื้นที่เกาะ,8-12 วันทำการ เพราะเป็นเกาะ (5-7 วัน) + ส่งทางอากาศไม่ได้ต้องไปทางบก/เรือ (เพิ่ม 3-5 วัน),"10-14 วันทำการ เนื่องจากแบตสำรองเกิน 20,000 mAh ต้องส่งทางเรืออย่างเดียว ไม่สามารถส่งทางบกได้ การขนส่งทางเรือไปเกาะสมุยใช้เวลานานกว่าทางบกมาก บวกกับเวลาจัดส่งปกติอีก 5-7 วัน","ไม่สามารถจัดส่งได้ เพราะ Power Bank เกิน 20,000 mAh ห้ามจัดส่งไปพื้นที่เกาะโดยเด็ดขาดตามข้อกำหนด IATA",15-20 วันทำการ เพราะต้องส่งเป็นพัสดุพิเศษทางเรือ,2-3 วันทำการ ถ้าเลือก Express,ไม่มีข้อมูลเพียงพอในฐานข้อมูลสำหรับตอบคำถามนี้,คำถามนี้ไม่เกี่ยวข้องกับร้านฟ้าใหม่
100,"สตอร์มบุ๊ก G5 ราคา ฿27,990 ซื้อมาได้ 5 วัน ยังไม่แกะกล่อง อยากคืนสินค้าได้ไหมครับ",คืนได้ครับ เพราะอยู่ภายใน 15 วัน และยังไม่แกะกล่อง ตรงตามเงื่อนไขนโยบายคืนสินค้าของฟ้าใหม่ทุกข้อ ทั้งสภาพสมบูรณ์ บรรจุภัณฑ์ครบ และภายในกรอบเวลา จ่ายค่าส่งคืน ฿50-฿150,"คืนได้ แต่ต้องไปคืนที่สาขาฟ้าใหม่เท่านั้นเพราะเป็นสินค้าราคาเกิน ฿25,000","ไม่ได้ครับ สตอร์มบุ๊ก G5 ราคา ฿27,990 เป็นสินค้า Clearance ลดล้างสต็อก ไม่รับคืนไม่ว่ากรณีใด",คืนได้ แต่หัก 5% ค่าดำเนินการเพราะเป็นสินค้าโปรโมชัน,คืนได้ภายใน 7 วันเท่านั้น เพราะเป็นสินค้าช่วง Mega Sale,ไม่ได้เพราะเลย 3 วันแล้ว สินค้าลดราคาพิเศษมีเงื่อนไขคืนได้ภายใน 3 วันเท่านั้น ต้องรีบตัดสินใจให้เร็วกว่านี้ กรุณาตรวจสอบสเปคให้ดีก่อนซื้อทุกครั้ง,คืนได้ แต่ได้คืนเป็น FahMai Wallet เครดิตเท่านั้น ไม่คืนเงินสด,ไม่ได้ เพราะ StormBook G5 เป็นสินค้า Pre-order ที่จัดส่งแล้ว ต้องใช้นโยบายคืนสินค้าไม่ใช่ยกเลิก,ไม่มีข้อมูลเพียงพอในฐานข้อมูลสำหรับตอบคำถามนี้,คำถามนี้ไม่เกี่ยวข้องกับร้านฟ้าใหม่
